Speaker,Dialogue
Unknown,Interview Transcript
Unknown,Participant 8
Interviewer,"Um..so to begin with, I’d just like you to introduce yourself. Tell me a little bit about who you are, where you're from, your education, and a little bit about your employment history."
Participant,"My name is __. Born and raised in Manhattan, New York. Um went to school in Chinatown, and then Gramercy Park, and then junior high school in the upper East side. And then. What else? Honors school--so honors for both junior high and high school, which is Brewer college campus high school, and then I went to pharmacy school, I went straight in. Did the six-year program. I went to Buffalo first, then went to NYU, graduated within six years, and kept working straight on from there. So, I started as an intern at CVS and I stayed there for ten years until I left. I finally left it this past December and went back to like community pharmacies."
Interviewer,"Got it. Um, so you're working in a community pharmacy right now?"
Participant,"Yeah, I work for different community pharmacies."
Interviewer,"Okay, can you tell me a little bit more about what you do and what your role is, and what your organizations or companies are like?"
Participant,"So it's very traditional. So like, I can speak both on retail corporate and just retail independent cuz that's my—my niche is retail in general, so it's a very traditional role where like you go in, you type scripts, you verify orders, you take consultations, you assess drug interactions, call doctors, nurses, whatever you got to do with the other teams that are sending you e-scribes. What else? I was a manager for two years at CVS, so it entailed a lot more than that after. You did hiring, firing, optimization, meeting metrics. Um. What else? That's kind of the big gist of it, and then Covid hit, so vaccinations were already getting unmanageable, but then when Covid hit, it just became completely unmanageable because you didn't get the extra help. You were probably at your worst time in history of hiring, being able to keep people in, because of the environment, because it was so toxic."
Interviewer,"Yeah, that sounds really difficult."
Participant,mm-hmm (agree).
Interviewer,"So you were in a client-facing role, basically, the whole time, um.. were you seeing customers pretty regularly?"
Participant,"All the time. You didn't get, you know, sometimes you didn't get lunch breaks."
Interviewer,Wow yeah.
Participant,"Most of my friends did not get any lunch breaks. I'm diabetic since I was younger, so I didn't get—I didn't give them a choice to give me a lunch break."
Interviewer,"Sure, sure. Um did you also have a lot of colleagues that you were working with regularly or were you by yourself sometimes?"
Participant,"I was by myself a lot. It's dependent on how high value the store was, so when I became a manager, I took on a low-volume store because it had recently opened in the last couple of years, and there was another CVS a couple of blocks away because it became like Starbucks here. So I would be by myself a lot, and even if there were, there was a budget to schedule a technician, because of the actual overworking in every pharmacy, because of the budgets in general. If you needed three technicians, you got one. If you needed one technician you got zero. So the technicians, the turnover would be so high, and people wouldn't—couldn't keep going. There’d be a lot of callouts, or you wouldn't be able to cover shifts anymore. So, even just because of that, you were alone. And it wasn't, it was high-volume pharmacies people would be alone."
Interviewer,"It sounds like you were pretty busy and overworked for the majority of the time, but especially with Covid."
Participant,It was already that way before Covid. It was terrible.
Interviewer,"Can you tell me a little bit more about the emotional toll of that, and if there, um, if there were coping strategies that you had employed?"
Participant,"Um so as an Asian American, we clearly don't have coping strategies because our parents are immigrants. And they tell you “just keep going,” and you just think you're really strong. And you think you can do everything and anything, so it just kind of really went down to the point where even now I'm still working on it.  So we kind of like, the technicians that you did have, you became like family, you know?  We try to like (inaudible) each other, and you know you, you take like there were times, where I didn't know how to stop, and my technician would be like “(name), go to the back,” you know."
Participant,"And like also if you had things going on, like my father died in 2019. I didn't take off, um, until I had to, and then also after I came back so. He died right before, right when China like basically when China was getting hit. So, and he died late October. And I was still there. And I came back, and I didn't, and I went straight back, and it really, it just keeps you working right? So, there are points where I would be bawling in the pharmacy at my workstation and I would still keep going."
Participant,"No really, no great coping strategies until  got really terrible like mentally, to the point where, when you needed therapy and an LOA, which everyone started doing LOA. And then we all start mass quitting, so you'll see a lot of pharmacies and you'll hear about a lot of pharmacies just being closed because they don't have anyone to staff them at this point. So it's not a shortage of pharmacists, it's just no one wants to take the job. We have an overage of pharmacists naturally, so."
Interviewer,"um so when you like crying at work and whatnot did did that seem okay, or were there, problems with that?"
Participant,"I didn’t let other people, besides like people that knew me see that. I didn't do it quite often either, I did it like maybe once or twice. Um there were panic attacks that I didn't know that I was having panic attacks. There were times where they thought I had covid because of the breathing issues, they thought I was having a stroke, I had to leave work like on the spot. And then I had another Asian American pharmacist, that I was, I was also a trainer so I trained pharmacists coming in, I onboarded them. Did the same with technicians. Um, it was a lot. I did a lot for this company. I was a top performer in Manhattan, specifically. I came out from like graduate intern of the year, you know, like, I was always top notch. Always had the highest metrics, all that. So that, I leaned into that, and I kind of like got taken advantage of."
Participant,"Um. And then another Asian American new hire, she said this is exactly what happened to her when she had left Rite Aid, and since she’s been fine. It's the anxiety, but you know I didn't know, I was living with anxiety for a very long time. And it just developed. And kind of, cra— yeah, yeah."
Interviewer,"Were there particular like scenarios or settings during which that, like became more prominent, where you were feeling more anxious or having panic attacks? Was there like a trigger for that in the workplace?"
Participant,"There was constant. Big triggers were just knowing shifts were uncovered, or that someone called out and that there would be no coverage. I would have to beg other technicians to come over after their shift if they were not too tired from their other shifts. Um, that was that was probably the main source, starting in 2014, 2015. So it's been a long time. Um, I want to say it was 2015 when it got really bad. When they started really slashing the budgets. Ah, so that was my number one thing, and then the, you just felt like you weren't paid enough to do it, so that became resentful, right? Um because the increases were less and less every year, to the point where it got to like 50 cents. You don't, you don't even meet inflation anymore. And we had real discussions about that."
Participant,"But I had no problem bringing like managers and supervisors in and continuously talking. I fought my way through to get to where I was paid. Every couple… I moved pharmacies every year, I helped struggling pharmacists, had developed teams, and I just kept going and going until I couldn't do it anymore. Um, so that's… What else? The workload, I guess, in general, when you're such a doer and you need to get the tests done, very simple very—what they think Asian Americans are really good at, you know. Just because it's innate in us."
Interviewer,Can you expand on that a little bit more?
Participant,"Just immigrant parents, they just, they're doers. They teach you to excel in school, and that doesn't really help, like navigate you in the real world when shit starts to—excuse my language—when it just starts to crumble all the time."
Participant,"Also, vaccinations-wise, you knew, you were going in, and let's say I would be by myself, I would still have up to 50 vaccinations, and I would have to do register; I would have to do drop off; I would have to produce the drug, which is printing, scanning, counting, and also verify the drug."
Participant,"So you were a one-man team at times, and even if you weren't a one-man team, let's say I had a really seasoned technician, who I really like, I got him to a point where he never even thought he could be, it was still really tough, he would just maintain like pickups. And I would still have to do everything else."
Participant,"So vaccinations really crushed us. It's just too much. Not enough. So that and we were, we were all talking about it, and nothing was happening. So we weren’t being seen, we weren’t being heard. But, you know, after years and years of, in any relationship, but especially a business one, then it starts to crumble, and you just can't, you can't, you have to leave and you can't go back."
Interviewer,"Sure, yeah."
Participant,"I mean, I still get emotional about it, I guess. It's like really hard to get over."
Interviewer,Yeah.
Participant,"One of the biggest triggers was which, which has so much to do with us being Asian American, right? Is that I was told to be “nice.” Like when I was in the pharmacy, and I was begging for help from anyone from any front store. They told us to rely on front store managers to start sending their own people, that's how pathetic it got. And a lot of front store people didn't want to deal with the drama of Manhattan, specifically Manhattan. It's really bad. People are, they think they're top tier, so they treat you with complete disrespect at all times—it doesn't stop. Um, I can handle them, but as a technician, it was really it was much harder because they wouldn't give you any respect. At least you had a pharmacy behind you versus a technician they were like no. Absolutely not."
Participant,"Um so. One of the male managers from a, from a CVS I used to work at that was close by, he, he was like “I can send you somebody, but I need you to be nice.” And I was just taken so aback. Doesn't mean… like because we're we just “go go go go”, it doesn't mean we're not being nice. It just means that we hold people accountable. Right? But it might not be your way and, yes, I think I've gotten immensely better at not being so “go go go go”, right? I don't want to produce the productive. I want to focus more on how that person can get done what is realistic and not push them to the point where I thought where I was okay with being pushed. That doesn't mean that everybody else is. And that's when I started earning a lot more respect for my technicians and they feel, they felt really cared for."
Participant,"Um but yeah.. I had at that moment, I was like huh? and then when I kept thinking about it, you know it hits you, you know, becomes a core memory almost, an adult core memory. And you're just like “wow you wouldn't have said that if one I were a man; or two, if I was a white woman; or three, if I was a black woman, you wouldn't have even tried that with me—to be nice—right?” At least not New York. That's not how um, but because I was this little, tiny, feisty Asian girl that I've always been known to be, that needs to get stuff done. That came out."
Interviewer,"Can you tell me about this colleague who said this? What was his background and was he white, was he…um?"
Participant,"I think he’s may… he looks white, but I think his name is Egyptian-based, but he's very Americanized. And he actually had my back a lot, but he saw, he also saw me when I was like anxious all the time at the other store, and I would borrow people. And like a lot of people saw my anxiety before I saw things like I'm… because I would just like.. always I'm always like “I don't have enough people! I don't have enough people! I don't have enough people!” But we didn't like, I wasn't not telling the truth. But he was… he was seasoned enough. Or like his responsibilities didn't fall on killing a patient right? Like that wasn't the big responsibility that was keeping him up at night. So he was seasoned like he was, well enough, where he was. Like whatever happens happens in my store. Pharmacists have a lot, we have a huge issue with like letting that be, because of the mistakes that can be made and the outcomes from that, from those mistakes. And ultimately, yeah your, your job’s on the line, but more importantly, like if someone does get hurt right, what does that mean falls on our conscience? And we know and we've been voicing everything that could have been done, and nothing was done to prevent it. Yeah."
Interviewer,Did that ever happen for you?
